Reference source,Reference metadata,Location,Group/Formation,Lithology,Metamorphic grade,Age Range (Ga),Age (Ga),"Sample name, or # of samples",TOC(±s),d13C
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF499.4,1.99,-39.09
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF505.76,2.3,-33.6
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF560.48,4,-35.93
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF570.16,0.5,-29.82
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF581.82,4.33,-35.34
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF606.14,0.49,-31.61
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF617,3.2,-34.86
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF625.1,2.78,-33.76
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF631.22,0.7,-32.85
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF640.27,2.98,-32.78
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF645.28,0.84,-32.61
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF654.79,0.54,-32.48
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF657.1,2.42,-33.77
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF660.17,0.65,-31.67
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF665.11,0.69,-34.44
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF670.02,2.46,-31.66
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF670.13,0.72,-32.84
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF674.92,2.33,-31.93
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF675.6,1.07,-34.45
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF676.44,4.94,-36.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF685.22,0.78,-31.57
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF689.94,0.68,-33.58
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF696.28,5.01,-38.04
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF699.93,0.96,-36.44
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF705.14,2.35,-32.23
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF709.95,0.71,-33.32
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF720.29,2.47,-31.4
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF725.5,0.09,-32.05
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF726.8,2.59,-31.03
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF729.7,3.27,-31.37
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF735.92,0.71,-31.54
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF738.7,2.34,-31.25
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF739.7,0.82,-31.62
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF745.12,0.79,-32.49
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF751.52,3.69,-36.45
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF759.13,3.73,-36.02
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF774.92,0.45,-31.78
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF787.67,4.63,-36.81
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF816.32,0.71,-34.32
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF827.87,0.17,-33.87
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF828.26,3.04,-40.58
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF835.95,2.05,-42.49
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF838.9,0.51,-32.46
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF858.49,0.24,-28.31
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF862.81,0.35,-28.24
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF865.52,4.45,-35.37
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF867.2,0.31,-31.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF872.26,0.59,-29.71
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF877.4,0.57,-30.14
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF906.55,1.62,-30.15
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF925.9,0.13,-30.9
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF934.43,0.7,-30.42
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF949.6,0.92,-30.3
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF955.15,0.21,-28.67
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF961.87,1.34,-30.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF965.3,0.33,-28.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF966.23,1.11,-31.9
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF966.97,0.75,-33.47
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF975.1,0.51,-28.82
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF981.79,2.44,-33.76
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF990.63,0.79,-28.03
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF996.18,0.92,-32.69
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1008.7,0.4,-29.8
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1030.54,1.61,-32.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1040.31,0.84,-30.11
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1043.8,1.95,-30.8
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1075.63,0.85,-29.01
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1080.36,0.29,-28.52
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1094.8,4.58,-30.51
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1106.82,9.6,-32.08
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1107.05,0.69,-33.84
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1120.24,0.37,-31
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1129.38,2.51,-36.87
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1139.58,5.16,-30.74
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1141.78,3.97,-34.67
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1150.23,0.36,-30
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1164.34,2.06,-33.55
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1176.14,1.9,-38.93
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1189.83,0.68,-27.87
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1191.05,2.27,-31.17
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1195.64,3.34,-29.34
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1205.29,1.81,-36.16
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1220.16,0.29,-29.65
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1225.03,1.39,-31.06
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1244,3.66,-31.68
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1255.18,0.23,-30.17
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1281.85,0.82,-31.58
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1290.52,0.68,-31.43
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1313.19,0.28,-25.52
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1316.1,2.19,-31.1
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1322.88,0.3,-30.11
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1330.26,3.17,-34.44
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1332.11,0.92,-31.49
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1334.13,2.47,-36.92
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1336.97,2.49,-44.83
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1348.81,2.15,-33.57
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1352.21,2.61,-38.73
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1355,2.84,-38.45
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1359.15,0.8,-34.79
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1359.9,1.95,-34.3
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1362,3.13,-33.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1364.76,0.52,-34.26
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1367.18,3.96,-38.58
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1373.22,3.35,-36.14
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1375.5,0.62,-34.26
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1384.88,2.54,-36.92
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1386.26,0.02,-33.31
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1386.39,2.04,-35.32
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1395.37,2.2,-35.72
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1396.83,2.75,-37.08
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1402.34,0.5,-33.05
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1404.87,3.49,-37.05
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1407.6,0.19,-33.87
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1412.8,0.38,-31.21
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1418.1,5.9,-34.71
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1445.49,1.41,-32.75
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1446.82,0.52,-30.12
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1450.84,0.23,-30.95
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1458.42,0.19,-27.74
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1464.61,0.49,-35.35
Fischer et al 2009,,,Transvaal Supergroup,shale,sub greenschist,,2.5,GKF1469.45,0.51,-35.45
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1472.17,0.67,-35.29
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1475.14,0.75,-35.55
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1476.53,1.05,-34.46
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1477.37,0.91,-34.62
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1489.21,0.35,-24.03
Fischer et al 2009,,,Transvaal Supergroup,carbonate,sub greenschist,,2.5,GKF1501.85,0.57,-29.72
Jia et al 2004,,Botswana,Penhalonga Fm,shale,sub greenschist,,2.7,PF1,n/a,-25.3
Jia et al 2004,,Botswana,Penhalonga Fm,shale,sub greenschist,,2.7,PF1,n/a,-25.5
Jia et al 2004,,Botswana,Penhalonga Fm,shale,sub greenschist,,2.7,PF2,n/a,-25.8
Jia et al 2004,,Botswana,Penhalonga Fm,shale,sub greenschist,,2.7,PF3,n/a,-25.5
Jia et al 2004,,Botswana,Penhalonga Fm,shale,sub greenschist,,2.7,PF4,n/a,-25.7
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H11A,n/a,-21
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H11B,n/a,-20.7
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H101,n/a,-19.4
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H102,n/a,-19.6
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H007A,n/a,-19
Jia et al 2004,,Canada,Western Abitibi Greenstone Belt,shale,sub greenschist,,2.7,H4,n/a,-22.4
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A451,n/a,-28.4
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A452,n/a,-28.7
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A453,n/a,-28.6
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A144A,n/a,-25.5
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A144B,n/a,-25.7
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A346A,n/a,-25.2
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A346B,n/a,-25.3
Jia et al 2004,,West Africa,Ashanti Belt,shale,sub greenschist,,2.2,A346C,n/a,-25.2
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,4,0.7,-31.4
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,5,0.92,-31
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,6,0.09,-39.7
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,7,0.07,-35.1
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,8,0.11,-38.2
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",chert sandstone,sub greenschist,,2.7,9,0.03,-31.5
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",stromatolite,sub greenschist,,2.7,10,0.03,-27.1
"Kakegawa and Nanri, 2006",,South Africa,"Woodiana Member, Jeerinah Fm",stromatolite,sub greenschist,,2.7,11,0.05,-34.4
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,70615,2.9,-7.25
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,70648,0.57,-27.52
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,93007,0.36,-27.91
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,94053-5,0.6,-30.5
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,94053-10,0.72,-31.11
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,94053-15,1.37,-31.86
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,94053-20,1.23,-29.06
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,94053-25,0.88,-30.29
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96014,1.47,-22.8
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96016,2.2,-14.48
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96018,1.27,-27.3
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96019A,0.81,-12.55
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96019A-2,1.47,-10.5
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96020C,0.49,-22.09
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96020C -1,0.82,-19.76
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96022C,2.7,-10.92
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96031,0.61,-25.42
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,96031-1,0.58,-24.87
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,97020A,7.13,-46.66
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,97020B,4.93,-39.29
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,97020B-1,3.73,-37.5
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,97021,9.78,-19.5
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC03-104,20.8,-23.78
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,Pc03-119,2.8,-23.96
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC03-119-1,9.9,-23.22
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC04-005,13.1,-25.07
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC04-005-1,6.1,-26.01
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC04-005-2,10,-24.75
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC01-113,2.59,-17.95
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC04-113,6.95,-16.61
Harnmeijer 2009,,South Africa,Coonterunah Group,chert,greenschist,,3.5,PC04-113-2,5.32,-16.91
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020A-blk,3.9,-28.77
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020B-lam1,5.1,-25.34
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020B-lam2,5.17,-27.34
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020B-lam3,5.76,-26.49
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020B-lam4,4.22,-24.29
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-020B-lam5,15.53,-29.63
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-1,5.57,-27.21
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-2,1.93,-27.67
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-3,2.08,-27.03
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-4,4.83,-26.26
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-5,4.37,-26.33
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-6,5.46,-27.11
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-7,0.68,-24.53
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,Pc05-020C-8,0.76,-23.24
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam1,2.29,-25.17
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam2,2.21,-31.13
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam3,2.28,-24.08
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam4,1.54,-24.2
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam5,0.31,-22.64
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC05-021lam6,0.29,-21.32
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC06-031-1,0.62,-19.22
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC06-031-2,0.35,-23.28
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC06-041-blk,0.29,-25.53
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,PC06-041-blk-1,0.29,-26.8
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,155m,0.26,-30.1
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,_155.00m,0.29,-30.1
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,155m-1,15.52,-29.29
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,157.6m,16.05,-28.3
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,157.60-1,15.52,-27.73
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,157.6-2,16.05,-27.73
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,157.6-3,12.41,-28.4
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,158.7,9.6,-28.14
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,158.7m-1,12.41,-28.28
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,158.7-2,9.6,-28.28
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,158.7-3,14.36,-28.74
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.4m,14.86,-28.74
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.40m-1,14.36,-27.98
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.40-2,14.86,-27.91
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.40-3,24.59,-28.22
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.70-m,24.59,-26.45
Harnmeijer 2009,,South Africa,Coonterunah Group,carbonate,greenschist,,3.5,160.70m-1,16.1,-27.8
